date,country,province,city,confirmed,suspected,cured,dead
2020-01-24,中国,四川省,达州市,1,0.0,0,0
2020-01-24,中国,四川省,雅安市,1,0.0,0,0
2020-01-24,中国,宁夏回族自治区,银川市,1,0.0,0,0
2020-01-24,中国,宁夏回族自治区,固原市,1,0.0,0,0
2020-01-24,中国,宁夏回族自治区,中卫市,1,0.0,0,0
2020-01-24,中国,安徽省,合肥市,10,0.0,0,0
2020-01-24,中国,安徽省,芜湖市,1,0.0,0,0
2020-01-24,中国,安徽省,蚌埠市,1,0.0,0,0
2020-01-24,中国,安徽省,马鞍山市,4,0.0,0,0
2020-01-24,中国,安徽省,铜陵市,3,0.0,0,0
2020-01-24,中国,安徽省,安庆市,4,0.0,0,0
2020-01-24,中国,安徽省,滁州市,2,0.0,0,0
2020-01-24,中国,安徽省,阜阳市,7,0.0,0,0
2020-01-24,中国,安徽省,六安市,2,0.0,0,0
2020-01-24,中国,安徽省,亳州市,4,0.0,0,0
2020-01-24,中国,安徽省,池州市,1,0.0,0,0
2020-01-24,中国,山东省,烟台市,2,0.0,0,0
2020-01-24,中国,山东省,日照市,2,0.0,0,0
2020-01-24,中国,山东省,德州市,1,0.0,0,0
2020-01-24,中国,山东省,聊城市,1,0.0,0,0
2020-01-24,中国,山西省,太原市,2,0.0,0,0
2020-01-24,中国,山西省,大同市,1,0.0,0,0
2020-01-24,中国,山西省,长治市,1,0.0,0,0
2020-01-24,中国,山西省,运城市,2,0.0,0,0
2020-01-24,中国,广东省,广州市,14,0.0,0,0
2020-01-24,中国,广东省,韶关市,3,0.0,0,0
2020-01-24,中国,广东省,深圳市,20,0.0,2,0
2020-01-24,中国,广东省,珠海市,10,0.0,0,0
2020-01-24,中国,广东省,汕头市,1,0.0,0,0
2020-01-24,中国,广东省,佛山市,9,0.0,0,0
2020-01-24,中国,广东省,湛江市,2,0.0,0,0
2020-01-24,中国,广东省,肇庆市,2,0.0,0,0
2020-01-24,中国,广东省,惠州市,7,0.0,0,0
2020-01-24,中国,广东省,阳江市,5,0.0,0,0
2020-01-24,中国,广东省,清远市,2,0.0,0,0
2020-01-24,中国,广东省,东莞市,1,0.0,0,0
2020-01-24,中国,广东省,中山市,2,0.0,0,0
2020-01-24,中国,广西壮族自治区,柳州市,3,0.0,0,0
2020-01-24,中国,广西壮族自治区,桂林市,6,0.0,0,0
2020-01-24,中国,广西壮族自治区,梧州市,1,0.0,0,0
2020-01-24,中国,广西壮族自治区,北海市,6,0.0,0,0
2020-01-24,中国,广西壮族自治区,防城港市,2,0.0,0,0
2020-01-24,中国,广西壮族自治区,玉林市,1,0.0,0,0
2020-01-24,中国,广西壮族自治区,百色市,1,0.0,0,0
2020-01-24,中国,广西壮族自治区,河池市,3,0.0,0,0
2020-01-24,中国,新疆维吾尔自治区,乌鲁木齐市,3,0.0,0,0
2020-01-24,中国,江苏省,南京市,4,0.0,0,0
2020-01-24,中国,江苏省,无锡市,1,0.0,0,0
2020-01-24,中国,江苏省,常州市,5,0.0,0,0
2020-01-24,中国,江苏省,苏州市,3,0.0,1,0
2020-01-24,中国,江苏省,南通市,1,0.0,0,0
2020-01-24,中国,江苏省,连云港市,1,0.0,0,0
2020-01-24,中国,江苏省,盐城市,1,0.0,0,0
2020-01-24,中国,江苏省,扬州市,1,0.0,0,0
2020-01-24,中国,江苏省,宿迁市,1,0.0,0,0
2020-01-24,中国,江西省,南昌市,3,0.0,0,0
2020-01-24,中国,江西省,景德镇市,1,0.0,0,0
2020-01-24,中国,江西省,萍乡市,1,0.0,0,0
2020-01-24,中国,江西省,九江市,2,0.0,0,0
2020-01-24,中国,江西省,新余市,1,0.0,0,0
2020-01-24,中国,江西省,赣州市,2,0.0,0,0
2020-01-24,中国,江西省,吉安市,1,0.0,0,0
2020-01-24,中国,江西省,宜春市,1,0.0,0,0
2020-01-24,中国,江西省,抚州市,4,0.0,0,0
2020-01-24,中国,江西省,上饶市,2,0.0,0,0
2020-01-24,中国,河北省,石家庄市,4,0.0,0,0
2020-01-24,中国,河北省,保定市,1,0.0,0,0
2020-01-24,中国,河北省,承德市,1,0.0,0,0
2020-01-24,中国,河北省,沧州市,2,0.0,0,1
2020-01-24,中国,河南省,郑州市,6,0.0,0,0
2020-01-24,中国,河南省,巩义市,2,0.0,0,0
2020-01-24,中国,河南省,洛阳市,1,0.0,0,0
2020-01-24,中国,河南省,平顶山市,1,0.0,0,0
2020-01-24,中国,河南省,新乡市,1,0.0,0,0
2020-01-24,中国,河南省,三门峡市,1,0.0,0,0
2020-01-24,中国,河南省,南阳市,8,0.0,0,0
2020-01-24,中国,河南省,信阳市,5,0.0,0,0
2020-01-24,中国,河南省,固始县,1,0.0,0,0
2020-01-24,中国,河南省,周口市,4,0.0,0,0
2020-01-24,中国,河南省,驻马店市,2,0.0,0,0
2020-01-24,中国,浙江省,杭州市,12,0.0,0,0
2020-01-24,中国,浙江省,宁波市,6,0.0,0,0
2020-01-24,中国,浙江省,温州市,10,0.0,1,0
2020-01-24,中国,浙江省,嘉兴市,4,0.0,0,0
2020-01-24,中国,浙江省,绍兴市,4,0.0,0,0
2020-01-24,中国,浙江省,金华市,2,0.0,0,0
2020-01-24,中国,浙江省,衢州市,2,0.0,0,0
2020-01-24,中国,浙江省,舟山市,2,0.0,0,0
2020-01-24,中国,浙江省,台州市,20,0.0,0,0
2020-01-24,中国,海南省,海口市,3,0.0,0,0
2020-01-24,中国,海南省,三亚市,5,0.0,0,0
2020-01-24,中国,海南省,儋州市,3,0.0,0,0
2020-01-24,中国,海南省,万宁市,5,0.0,0,0
2020-01-24,中国,海南省,临高县,1,0.0,0,0
2020-01-24,中国,湖北,武汉,572,0.0,32,38
2020-01-24,中国,湖北,十堰,5,0.0,0,0
2020-01-24,中国,湖北,荆门,21,0.0,0,0
2020-01-24,中国,湖北,孝感,26,0.0,0,0
2020-01-24,中国,湖北,黄冈,64,0.0,0,0
2020-01-24,中国,湖北,荆州,10,0.0,0,0
2020-01-24,中国,湖北,仙桃,10,0.0,0,0
2020-01-24,中国,湖北,随州,5,0.0,0,0
2020-01-24,中国,湖北,恩施,11,0.0,0,0
2020-01-24,中国,湖北,鄂州,1,0.0,0,0
2020-01-24,中国,湖北,天门,3,0.0,0,0
2020-01-24,中国,湖北,宜昌,1,0.0,0,1
2020-01-24,中国,湖南省,长沙市,8,0.0,0,0
2020-01-24,中国,湖南省,株洲市,1,0.0,0,0
2020-01-24,中国,湖南省,湘潭市,2,0.0,0,0
2020-01-24,中国,湖南省,衡阳市,3,0.0,0,0
2020-01-24,中国,湖南省,邵阳市,2,0.0,0,0
2020-01-24,中国,湖南省,岳阳市,5,0.0,0,0
2020-01-24,中国,湖南省,常德市,3,0.0,0,0
