,date,country,province,city,confirmed,suspected,cured,dead
349,2020-02-10,柬埔寨,,,1,0,0,0
350,2020-02-10,加拿大,,,7,0,1,0
351,2020-02-10,韩国,,,27,0,3,0
352,2020-02-10,芬兰,,,1,0,1,0
353,2020-02-10,菲律宾,,,3,0,1,1
354,2020-02-10,法国,,,11,0,0,0
355,2020-02-10,俄罗斯,,,2,0,0,0
356,2020-02-10,德国,,,14,0,0,0
357,2020-02-10,比利时,,,1,0,0,0
358,2020-02-10,澳大利亚,,,15,0,3,0
359,2020-02-10,阿联酋,,,7,0,0,0
360,2020-02-10,日本,,,26,0,2,0
361,2020-02-11,中国,,,44730,16067,4742,1114
362,2020-02-11,越南,,,15,0,3,0
363,2020-02-11,英国,,,8,0,0,0
364,2020-02-11,印度,,,3,0,0,0
365,2020-02-11,意大利,,,3,0,0,0
366,2020-02-11,新加坡,,,47,0,9,0
367,2020-02-11,西班牙,,,2,0,0,0
368,2020-02-11,泰国,,,32,0,10,0
369,2020-02-11,斯里兰卡,,,1,0,1,0
370,2020-02-11,瑞典,,,1,0,0,0
371,2020-02-11,尼泊尔,,,1,0,0,0
372,2020-02-11,美国,,,13,0,3,0
373,2020-02-11,马来西亚,,,18,0,3,0
374,2020-02-11,柬埔寨,,,1,0,0,0
375,2020-02-11,加拿大,,,7,0,1,0
376,2020-02-11,韩国,,,28,0,3,0
377,2020-02-11,芬兰,,,1,0,1,0
378,2020-02-11,菲律宾,,,3,0,1,1
379,2020-02-11,法国,,,11,0,0,0
380,2020-02-11,俄罗斯,,,2,0,0,0
381,2020-02-11,德国,,,14,0,0,0
382,2020-02-11,比利时,,,1,0,0,0
383,2020-02-11,澳大利亚,,,15,0,3,0
384,2020-02-11,阿联酋,,,8,0,0,0
385,2020-02-11,日本,,,26,0,2,0
386,2020-02-12,中国,,,58839,13435,5646,1260
387,2020-02-12,越南,,,15,0,3,0
388,2020-02-12,英国,,,8,0,1,0
389,2020-02-12,印度,,,3,0,0,0
390,2020-02-12,意大利,,,3,0,0,0
391,2020-02-12,新加坡,,,50,0,15,0
392,2020-02-12,西班牙,,,2,0,0,0
393,2020-02-12,泰国,,,33,0,10,0
394,2020-02-12,斯里兰卡,,,1,0,1,0
395,2020-02-12,瑞典,,,1,0,0,0
396,2020-02-12,尼泊尔,,,1,0,1,0
397,2020-02-12,美国,,,13,0,3,0
398,2020-02-12,马来西亚,,,18,0,3,0
399,2020-02-12,柬埔寨,,,1,0,0,0
400,2020-02-12,加拿大,,,7,0,1,0
401,2020-02-12,韩国,,,28,0,3,0
402,2020-02-12,芬兰,,,1,0,1,0
403,2020-02-12,菲律宾,,,3,0,1,1
404,2020-02-12,法国,,,11,0,0,0
405,2020-02-12,俄罗斯,,,2,0,2,0
406,2020-02-12,德国,,,16,0,0,0
407,2020-02-12,比利时,,,1,0,0,0
408,2020-02-12,澳大利亚,,,15,0,5,0
409,2020-02-12,阿联酋,,,8,0,0,0
410,2020-02-12,日本,,,28,0,10,0
411,2020-02-13,中国,,,63932,10109,6728,1381
412,2020-02-13,越南,,,15,0,5,0
413,2020-02-13,英国,,,9,0,1,0
414,2020-02-13,印度,,,3,0,0,0
415,2020-02-13,意大利,,,3,0,0,0
416,2020-02-13,新加坡,,,58,0,15,0
417,2020-02-13,西班牙,,,2,0,0,0
418,2020-02-13,泰国,,,33,0,10,0
419,2020-02-13,斯里兰卡,,,1,0,1,0
420,2020-02-13,瑞典,,,1,0,0,0
421,2020-02-13,尼泊尔,,,1,0,1,0
422,2020-02-13,美国,,,14,0,3,0
423,2020-02-13,马来西亚,,,19,0,3,0
424,2020-02-13,柬埔寨,,,1,0,0,0
425,2020-02-13,加拿大,,,7,0,1,0
426,2020-02-13,韩国,,,28,0,7,0
427,2020-02-13,芬兰,,,1,0,1,0
428,2020-02-13,菲律宾,,,3,0,1,1
429,2020-02-13,法国,,,11,0,0,0
430,2020-02-13,俄罗斯,,,2,0,2,0
431,2020-02-13,德国,,,16,0,1,0
432,2020-02-13,比利时,,,1,0,0,0
433,2020-02-13,澳大利亚,,,15,0,5,0
434,2020-02-13,阿联酋,,,8,0,0,0
435,2020-02-13,日本,,,29,0,11,1
436,2020-02-14,中国,,,66575,8969,8101,1524
437,2020-02-14,越南,,,16,0,5,0
438,2020-02-14,英国,,,9,0,1,0
439,2020-02-14,印度,,,3,0,0,0
440,2020-02-14,意大利,,,3,0,0,0
441,2020-02-14,新加坡,,,67,0,17,0
442,2020-02-14,西班牙,,,2,0,0,0
443,2020-02-14,泰国,,,33,0,10,0
444,2020-02-14,斯里兰卡,,,1,0,1,0
445,2020-02-14,瑞典,,,1,0,0,0
446,2020-02-14,尼泊尔,,,1,0,1,0
447,2020-02-14,美国,,,15,0,3,0
448,2020-02-14,马来西亚,,,19,0,3,0
449,2020-02-14,柬埔寨,,,1,0,0,0
450,2020-02-14,加拿大,,,7,0,1,0
451,2020-02-14,韩国,,,28,0,7,0
452,2020-02-14,芬兰,,,1,0,1,0
453,2020-02-14,菲律宾,,,3,0,1,1
454,2020-02-14,法国,,,11,0,0,0
455,2020-02-14,俄罗斯,,,2,0,2,0
456,2020-02-14,德国,,,16,0,1,0
457,2020-02-14,比利时,,,1,0,0,0
458,2020-02-14,澳大利亚,,,15,0,5,0
459,2020-02-14,阿联酋,,,8,0,3,0
460,2020-02-14,日本,,,33,0,12,1
461,2020-02-15,中国,,,68584,8229,9425,1666
462,2020-02-15,越南,,,16,0,7,0
463,2020-02-15,英国,,,9,0,1,0
464,2020-02-15,印度,,,3,0,0,0
465,2020-02-15,意大利,,,3,0,0,0
466,2020-02-15,新加坡,,,67,0,17,0
467,2020-02-15,西班牙,,,2,0,0,0
468,2020-02-15,泰国,,,33,0,14,0
469,2020-02-15,斯里兰卡,,,1,0,1,0
470,2020-02-15,瑞典,,,1,0,0,0
471,2020-02-15,尼泊尔,,,1,0,1,0
472,2020-02-15,美国,,,15,0,3,0
473,2020-02-15,马来西亚,,,21,0,3,0
474,2020-02-15,柬埔寨,,,1,0,1,0
475,2020-02-15,加拿大,,,8,0,1,0
476,2020-02-15,韩国,,,28,0,9,0
477,2020-02-15,芬兰,,,1,0,1,0
478,2020-02-15,菲律宾,,,3,0,1,1
479,2020-02-15,法国,,,11,0,0,1
480,2020-02-15,俄罗斯,,,2,0,2,0
481,2020-02-15,德国,,,16,0,1,0
482,2020-02-15,比利时,,,1,0,0,0
483,2020-02-15,澳大利亚,,,15,0,5,0
484,2020-02-15,埃及,,,1,0,0,0
485,2020-02-15,阿联酋,,,8,0,3,0
486,2020-02-15,日本,,,41,0,12,1
487,2020-02-16,中国,,,70637,7264,10860,1772
488,2020-02-16,越南,,,16,0,7,0
489,2020-02-16,英国,,,9,0,8,0
490,2020-02-16,印度,,,3,0,2,0
491,2020-02-16,意大利,,,3,0,0,0
492,2020-02-16,新加坡,,,72,0,18,0
493,2020-02-16,西班牙,,,2,0,0,0
494,2020-02-16,泰国,,,34,0,15,0
495,2020-02-16,斯里兰卡,,,1,0,1,0
496,2020-02-16,瑞典,,,1,0,0,0
497,2020-02-16,尼泊尔,,,1,0,1,0
498,2020-02-16,美国,,,15,0,3,0
499,2020-02-16,马来西亚,,,22,0,7,0
500,2020-02-16,柬埔寨,,,1,0,1,0
501,2020-02-16,加拿大,,,8,0,1,0
502,2020-02-16,韩国,,,29,0,9,0
503,2020-02-16,芬兰,,,1,0,1,0
504,2020-02-16,菲律宾,,,3,0,1,1
505,2020-02-16,法国,,,12,0,4,1
506,2020-02-16,俄罗斯,,,2,0,2,0
507,2020-02-16,德国,,,16,0,1,0
508,2020-02-16,比利时,,,1,0,1,0
509,2020-02-16,澳大利亚,,,15,0,5,0
510,2020-02-16,埃及,,,1,0,0,0
511,2020-02-16,阿联酋,,,8,0,4,0
512,2020-02-16,日本,,,53,0,12,1
513,2020-02-17,中国,,,72528,6242,12561,1870
514,2020-02-17,越南,,,16,0,7,0
515,2020-02-17,英国,,,9,0,8,0
516,2020-02-17,印度,,,3,0,2,0
517,2020-02-17,意大利,,,3,0,0,0
518,2020-02-17,新加坡,,,77,0,19,0
519,2020-02-17,西班牙,,,2,0,0,0
520,2020-02-17,泰国,,,35,0,15,0
521,2020-02-17,斯里兰卡,,,1,0,1,0
522,2020-02-17,瑞典,,,1,0,0,0
523,2020-02-17,尼泊尔,,,1,0,1,0
524,2020-02-17,美国,,,15,0,3,0
525,2020-02-17,马来西亚,,,22,0,9,0
526,2020-02-17,柬埔寨,,,1,0,1,0
527,2020-02-17,加拿大,,,8,0,1,0
528,2020-02-17,韩国,,,30,0,10,0
529,2020-02-17,芬兰,,,1,0,1,0
530,2020-02-17,菲律宾,,,3,0,1,1
531,2020-02-17,法国,,,12,0,4,1
532,2020-02-17,俄罗斯,,,2,0,2,0
533,2020-02-17,德国,,,16,0,1,0
534,2020-02-17,比利时,,,1,0,1,0
535,2020-02-17,澳大利亚,,,15,0,5,0
536,2020-02-17,埃及,,,1,0,0,0
537,2020-02-17,阿联酋,,,9,0,4,0
538,2020-02-17,日本,,,59,0,14,1
539,2020-02-18,中国,,,74276,5248,14387,2006
540,2020-02-18,越南,,,16,0,9,0
541,2020-02-18,英国,,,9,0,8,0
542,2020-02-18,印度,,,3,0,2,0
543,2020-02-18,意大利,,,3,0,0,0
544,2020-02-18,新加坡,,,81,0,29,0
545,2020-02-18,西班牙,,,2,0,0,0
546,2020-02-18,泰国,,,35,0,15,0
547,2020-02-18,斯里兰卡,,,1,0,1,0
548,2020-02-18,瑞典,,,1,0,0,0
549,2020-02-18,尼泊尔,,,1,0,1,0
550,2020-02-18,美国,,,15,0,3,0
551,2020-02-18,马来西亚,,,22,0,9,0
552,2020-02-18,柬埔寨,,,1,0,1,0
553,2020-02-18,加拿大,,,8,0,1,0
554,2020-02-18,韩国,,,31,0,10,0
555,2020-02-18,芬兰,,,1,0,1,0
556,2020-02-18,菲律宾,,,3,0,1,1
557,2020-02-18,法国,,,12,0,4,1
558,2020-02-18,俄罗斯,,,2,0,2,0
559,2020-02-18,德国,,,16,0,7,0
560,2020-02-18,比利时,,,1,0,1,0
561,2020-02-18,澳大利亚,,,15,0,5,0
562,2020-02-18,埃及,,,1,0,0,0
563,2020-02-18,阿联酋,,,9,0,4,0
564,2020-02-18,日本,,,65,0,14,1
565,2020-02-19,中国,,,75101,4922,16168,2121
566,2020-02-19,越南,,,16,0,9,0
567,2020-02-19,英国,,,9,0,8,0
568,2020-02-19,印度,,,3,0,2,0
569,2020-02-19,意大利,,,3,0,0,0
570,2020-02-19,新加坡,,,84,0,34,0
571,2020-02-19,西班牙,,,2,0,0,0
572,2020-02-19,泰国,,,35,0,15,0
573,2020-02-19,斯里兰卡,,,1,0,1,0
574,2020-02-19,瑞典,,,1,0,0,0
575,2020-02-19,尼泊尔,,,1,0,1,0
576,2020-02-19,美国,,,15,0,3,0
577,2020-02-19,马来西亚,,,22,0,9,0
578,2020-02-19,柬埔寨,,,1,0,1,0
579,2020-02-19,加拿大,,,8,0,1,0
580,2020-02-19,韩国,,,51,0,10,0
581,2020-02-19,芬兰,,,1,0,1,0
582,2020-02-19,菲律宾,,,3,0,1,1
583,2020-02-19,法国,,,12,0,4,1
584,2020-02-19,俄罗斯,,,2,0,2,0
585,2020-02-19,德国,,,16,0,7,0
586,2020-02-19,比利时,,,1,0,1,0
587,2020-02-19,澳大利亚,,,15,0,5,0
